pair,boundary,side,workload,operations,sample,wall_ns,allocated_words
1,raw,reference,map.child_change.100000,4194304,5,127.414410,108.000002
1,raw,reference,map.child_change.100000,4194304,6,128.222666,108.000002
1,raw,reference,map.child_change.100000,4194304,7,127.908493,108.000002
1,raw,reference,map.child_change.100000,4194304,8,126.441932,108.000002
1,raw,reference,map.child_change.100000,4194304,9,129.174680,108.000002
1,raw,finalist,map.child_change.100000,4194304,1,127.626663,113.000002
1,raw,finalist,map.child_change.100000,4194304,2,127.635985,113.000002
1,raw,finalist,map.child_change.100000,4194304,3,128.010299,113.000002
1,raw,finalist,map.child_change.100000,4194304,4,128.304237,113.000002
1,raw,finalist,map.child_change.100000,4194304,5,122.941742,113.000002
1,raw,finalist,map.child_change.100000,4194304,6,123.208963,113.000002
1,raw,finalist,map.child_change.100000,4194304,7,122.980850,113.000002
1,raw,finalist,map.child_change.100000,4194304,8,122.608867,113.000002
1,raw,finalist,map.child_change.100000,4194304,9,122.305153,113.000002
1,public,reference,map.child_change.100000,4194304,1,129.547857,108.000002
1,public,reference,map.child_change.100000,4194304,2,127.626663,108.000002
1,public,reference,map.child_change.100000,4194304,3,129.671321,108.000002
1,public,reference,map.child_change.100000,4194304,4,129.266255,108.000002
1,public,reference,map.child_change.100000,4194304,5,128.765123,108.000002
1,public,reference,map.child_change.100000,4194304,6,129.147793,108.000002
1,public,reference,map.child_change.100000,4194304,7,129.223338,108.000002
1,public,reference,map.child_change.100000,4194304,8,129.627438,108.000002
1,public,reference,map.child_change.100000,4194304,9,124.204632,108.000002
1,public,finalist,map.child_change.100000,32,1,15821024.775505,3970.625000
1,public,finalist,map.child_change.100000,32,2,15653900.802135,3970.625000
1,public,finalist,map.child_change.100000,32,3,15770442.783833,3970.625000
1,public,finalist,map.child_change.100000,32,4,15865527.093410,3970.625000
1,public,finalist,map.child_change.100000,32,5,15642970.800400,3970.625000
1,public,finalist,map.child_change.100000,32,6,15671998.262405,3970.625000
1,public,finalist,map.child_change.100000,32,7,15647344.291210,3970.625000
1,public,finalist,map.child_change.100000,32,8,15838906.168938,3970.625000
1,public,finalist,map.child_change.100000,32,9,15745528.042316,3970.625000
2,raw,reference,changed.depth_1,16777216,1,54.444314,6.000001
2,raw,reference,changed.depth_1,16777216,2,54.527106,6.000001
2,raw,reference,changed.depth_1,16777216,3,54.857011,6.000001
2,raw,reference,changed.depth_1,16777216,4,53.097068,6.000001
2,raw,reference,changed.depth_1,16777216,5,51.227929,6.000001
2,raw,reference,changed.depth_1,16777216,6,51.307197,6.000001
2,raw,reference,changed.depth_1,16777216,7,51.449845,6.000001
2,raw,reference,changed.depth_1,16777216,8,51.218507,6.000001
2,raw,reference,changed.depth_1,16777216,9,51.426525,6.000001
2,raw,finalist,changed.depth_1,16777216,1,49.468937,0.000001
2,raw,finalist,changed.depth_1,16777216,2,49.415647,0.000001
2,raw,finalist,changed.depth_1,16777216,3,49.402246,0.000001
2,raw,finalist,changed.depth_1,16777216,4,49.356231,0.000001
2,raw,finalist,changed.depth_1,16777216,5,49.372730,0.000001
2,raw,finalist,changed.depth_1,16777216,6,49.413444,0.000001
2,raw,finalist,changed.depth_1,16777216,7,49.355563,0.000001
2,raw,finalist,changed.depth_1,16777216,8,49.361645,0.000001
2,raw,finalist,changed.depth_1,16777216,9,49.410701,0.000001
2,public,reference,changed.depth_1,16777216,1,54.588668,6.000001
2,public,reference,changed.depth_1,16777216,2,54.612215,6.000001
2,public,reference,changed.depth_1,16777216,3,53.805465,6.000001
